id;note;commentaire;date;produit_id;client_id
1;4;Très satisfait du produit!;2023-01-10;1;1
2;5;Pyjama adorable et confortable!;2023-01-12;2;2
3;4;Doudou lapin très doux. Ma fille l'adore!;2023-01-15;3;3
4;4;Biberon pratique et efficace contre les coliques.;2023-01-18;4;4
5;5;Chaussettes en laine de grande qualité.;2023-01-20;5;5
6;3;Le mobile musical est joli mais la musique est un peu forte.;2023-01-22;6;1
7;5;Couverture en polaire très douce et chaude.;2023-01-25;7;2
8;4;Tapis d'éveil coloré et attractif pour bébé.;2023-01-28;8;3
9;5;Sucette orthodontique de bonne qualité.;2023-01-30;9;4
10;3;Lingettes douces et pratiques.;2023-02-02;10;5
11;4;Cape de bain absorbante et mignonne.;2023-02-05;11;1
12;5;Porte-bébé ergonomique très confortable.;2023-02-08;12;2
13;4;Poussette légère et maniable.;2023-02-10;13;3
14;5;Bavoir imperméable de bonne qualité.;2023-02-13;14;4
15;3;Thermomètre frontal facile à utiliser.;2023-02-15;15;5
16;4;Protège-carnet de santé élégant.;2023-02-18;16;1
17;5;Kit de manucure bébé complet.;2023-02-20;17;2
18;4;Jouet de dentition en silicone apprécié par bébé.;2023-02-23;18;3
19;5;Gigoteuse d'hiver bien chaude.;2023-02-26;19;4
20;3;Livre en tissu avec textures variées.;2023-02-28;20;5
