category_id;produit_id
1;0
2;0
3;0
4;0
1;1
2;1
5;2
6;2
7;2
8;2
9;3
10;3
11;3
12;3
13;3
14;3
1;4
2;4
1;5
2;5
3;5
4;5
1;6
2;6
3;6
15;6
9;7
10;7
11;7
16;7
17;7
5;8
6;8
7;8
8;8
1;9
2;9
3;9
4;9
9;10
18;10
9;11
10;11
19;11
16;11
20;11
1;12
2;12
3;12
4;12
9;13
10;13
11;13
21;13
22;13
9;14
10;14
11;14
21;14
22;14
1;15
2;15
3;15
4;15
9;16
10;16
11;16
21;16
22;16
9;17
10;17
11;17
21;17
22;17
9;18
10;18
11;18
21;18
22;18
9;19
10;19
11;19
21;19
22;19
9;20
10;20
11;20
21;20
22;20
9;21
10;21
11;21
21;21
22;21
9;22
10;22
11;22
21;22
22;22
9;23
10;23
11;23
21;23
22;23
9;24
10;24
11;24
21;24
22;24
9;25
10;25
11;25
21;25
22;25
9;26
10;26
11;26
21;26
22;26
1;27
2;27
3;27
4;27
1;28
2;28
3;28
4;28
1;29
2;29
3;29
4;29
1;30
2;30
3;30
4;30
9;31
10;31
11;31
21;31
22;31
1;32
2;32
3;32
15;32
9;33
10;33
11;33
21;33
22;33
9;34
10;34
11;34
21;34
22;34
9;35
10;35
11;35
21;35
23;35
9;36
10;36
11;36
21;36
22;36
9;37
10;37
11;37
12;37
9;38
10;38
11;38
12;38
24;38
25;38
9;39
10;39
19;39
12;39
26;39
27;39
9;40
10;40
11;40
21;40
22;40
9;41
10;41
11;41
21;41
22;41
9;42
10;42
11;42
21;42
22;42
9;43
10;43
11;43
21;43
22;43
9;44
10;44
11;44
21;44
22;44
9;45
10;45
11;45
21;45
22;45
9;46
10;46
11;46
21;46
22;46
9;47
10;47
11;47
21;47
22;47
9;48
10;48
11;48
21;48
22;48
9;49
10;49
11;49
21;49
22;49
9;50
10;50
11;50
21;50
22;50
1;51
2;51
3;51
9;52
10;52
11;52
12;52
9;53
10;53
11;53
12;53
28;53
29;53
9;54
10;54
11;54
12;54
26;54
30;54
9;55
10;55
19;55
12;55
31;55
32;55
9;56
10;56
11;56
12;56
26;56
30;56
9;57
10;57
11;57
12;57
26;57
30;57
9;58
10;58
11;58
12;58
26;58
30;58
9;59
10;59
11;59
12;59
26;59
30;59
9;60
10;60
11;60
12;60
26;60
30;60
9;61
10;61
19;61
12;61
33;61
9;62
10;62
11;62
12;62
26;62
30;62
9;63
18;63
9;64
10;64
19;64
12;64
31;64
34;64
9;65
10;65
11;65
12;65
28;65
29;65
1;66
2;66
3;66
15;66
1;67
35;67
36;67
37;67
38;67
9;68
10;68
11;68
21;68
22;68
9;69
10;69
11;69
21;69
22;69
9;70
10;70
11;70
21;70
22;70
9;71
10;71
11;71
21;71
22;71
5;72
6;72
7;72
8;72
1;73
35;73
36;73
37;73
39;73
5;74
6;74
7;74
8;74
1;75
40;75
41;75
42;75
1;76
2;76
3;76
15;76
9;77
10;77
11;77
21;77
22;77
5;78
6;78
7;78
8;78
9;79
10;79
11;79
21;79
22;79
1;80
40;80
43;80
44;80
1;81
35;81
36;81
37;81
45;81
9;82
10;82
11;82
12;82
46;82
9;83
47;83
1;84
35;84
48;84
49;84
50;84
5;85
6;85
7;85
8;85
9;86
10;86
11;86
16;86
51;86
52;86
1;87
2;87
3;87
4;87
9;88
10;88
11;88
21;88
22;88
1;89
2;89
3;89
4;89
9;90
10;90
11;90
21;90
22;90
5;91
6;91
7;91
8;91
1;92
40;92
53;92
54;92
9;93
10;93
11;93
12;93
13;93
14;93
9;94
10;94
11;94
12;94
13;94
14;94
9;95
10;95
11;95
21;95
22;95
9;96
10;96
11;96
12;96
33;96
55;96
9;97
10;97
11;97
21;97
22;97
9;98
10;98
11;98
21;98
22;98
1;99
40;99
53;99
54;99
